filename,energy (kcal/mol)
6,-352991.49624641525
7,-352991.20019017917
12,-352990.72622510133
13,-352990.72620753106
35,-352987.9359203641
0,-352987.8073745179
30,-352987.11333889625
27,-352986.64020087535
24,-352986.36715664924
41,-352985.9335347525
36,-352985.93324296083
32,-352985.2677351533
1,-352985.05605816987
31,-352984.87343861815
25,-352983.92929171433
26,-352983.87599988503
39,-352983.8376672427
38,-352983.8376377498
28,-352983.7931956799
37,-352983.4725756039
40,-352983.47252916824
34,-352983.4685451136
29,-352982.74349674216
33,-352982.2896703106
18,-352981.26189653744
21,-352980.9017659848
20,-352980.17691402364
23,-352980.1768198973
11,-352980.12774116336
22,-352979.6070712182
19,-352979.60706933565
17,-352978.7538114629
14,-352978.7537982852
10,-352978.7496090351
8,-352978.2383341547
9,-352978.2276257136
16,-352978.1611310949
15,-352978.1611254473
2,-352977.7285182327
5,-352977.3620611343
3,-352977.14470331185
4,-352977.10125960875
